google.com,,,,
Time,Request,Resp. Size,Analysis,Total time
01:27:24.499,GET https://ss1.bdstatic.com/kvoZeXSm1A5BphGlnYG/icon/weather/aladdin/png_18/a1.png,1952,[Image],11 ms
01:27:24.514,GET https://ss0.bdstatic.com/5aV1bjqh_Q23odCf/static/superman/img/icon-police.png,1244,[Image],13 ms
01:27:24.569,GET https://ss1.bdstatic.com/5eN1bjq8AAUYm2zgoY3K/r/www/cache/static/protocol/https/global/js/all_async_search_240007d.js,78346,[JavaScript],29 ms
01:27:24.574,GET https://ss1.bdstatic.com/5eN1bjq8AAUYm2zgoY3K/r/www/cache/static/protocol/https/plugins/every_cookie_a70bc15.js,5933,[JavaScript],90 ms
01:27:24.620,GET https://ss1.bdstatic.com/5eN1bjq8AAUYm2zgoY3K/r/www/cache/static/protocol/https/home/js/nu_instant_search_7881c1c.js,6194,[JavaScript],17 ms
01:27:24.636,GET https://ss1.bdstatic.com/5eN1bjq8AAUYm2zgoY3K/r/www/cache/static/protocol/https/plugins/swfobject_0178953.js,4281,[JavaScript],15 ms
01:27:24.637,GET https://ss1.bdstatic.com/5eN1bjq8AAUYm2zgoY3K/r/www/cache/static/protocol/https/soutu/js/tu_329aca4.js,6135,[JavaScript],16 ms
01:27:24.646,GET https://ss1.bdstatic.com/5eN1bjq8AAUYm2zgoY3K/r/www/cache/static/protocol/https/sug/js/bdsug_async_97a395d.js,11245,[JavaScript],19 ms
01:27:24.719,GET https://ss1.bdstatic.com/5aV1bjqh_Q23odCf/static/message/js/mt_show_1.8.js,6811,[JavaScript],17 ms
01:27:24.731,GET https://ss1.bdstatic.com/5eN1bjq8AAUYm2zgoY3K/r/www/cache/static/protocol/https/soutu/css/soutu.css,2639,[TXT],16 ms
01:27:24.753,GET https://sp0.baidu.com/5a1Fazu8AA54nxGko9WTAnF6hhy/su,292,[JavaScript],24 ms
01:27:25.140,GET https://ss1.bdstatic.com/5eN1bjq8AAUYm2zgoY3K/r/www/cache/static/protocol/https/plugins/env.swf,1703,[MIME],18 ms
01:27:25.143,GET https://ss1.bdstatic.com/5eN1bjq8AAUYm2zgoY3K/r/www/cache/static/protocol/https/soutu/img/camera_new_5606e8f.png,1024,[Image],17 ms
01:27:25.176,GET https://ss0.bdstatic.com/5aV1bjqh_Q23odCf/static/superman/js/min_notice_b86f6d56.js,5502,[JavaScript],14 ms
01:27:25.178,GET https://ss0.bdstatic.com/5aV1bjqh_Q23odCf/static/superman/js/super_load_84510674.js,14450,[JavaScript],21 ms
01:27:25.183,GET https://ss0.bdstatic.com/5aV1bjqh_Q23odCf/static/tipsplus/js/min_tips_e4616384.js,2154,[JavaScript],21 ms
01:27:25.183,GET https://ss0.bdstatic.com/5aV1bjqh_Q23odCf/static/activity/js/activity_start_52498d2c.js,1392,[JavaScript],21 ms
01:27:25.196,GET https://ss0.bdstatic.com/5aV1bjqh_Q23odCf/static/superman/css/mt_min_d0e7c6d2.css,2767,[TXT],18 ms
01:27:25.220,GET https://www.baidu.com/home/xman/data/tipspluslist,512,[HTML],99 ms
01:27:25.222,GET https://ss0.bdstatic.com/5aV1bjqh_Q23odCf/static/superui/js/ubase_d1f77074.js,15840,[JavaScript],19 ms
01:27:25.227,GET https://ss0.bdstatic.com/5aV1bjqh_Q23odCf/static/superman/css/nsguide_a8cbc2e7.css,1276,[TXT],13 ms
01:27:25.228,GET https://ss0.bdstatic.com/5aV1bjqh_Q23odCf/static/superman/css/super_ext_c02dfc40.css,3274,[TXT],16 ms
01:27:25.233,GET https://ss0.bdstatic.com/5aV1bjqh_Q23odCf/static/superman/img/blank_56a92bd4.png,456,[Image],14 ms
01:27:25.240,GET https://www.baidu.com/home/msg/data/personalcontent,483,[HTML],181 ms
01:27:25.253,GET https://ss0.bdstatic.com/5aV1bjqh_Q23odCf/static/superui/css/ubase_83c8f0ba.css,2540,[TXT],12 ms
,,,,
amazon.com,,,,
Time,Request,Resp. Size,Analysis,Total time
01:31:41.838,GET http://www.amazon.com/,！,[MIME],1 ms
01:31:41.842,GET https://www.amazon.com/,58997,[HTML],897 ms
01:31:42.437,"GET https://images-na.ssl-images-amazon.com/images/I/61KNgNbUAlL._RC%7C11GoULn9O1L.css,21NIi2PXUkL.css,318Lc7ZjZUL.css,310HgKKWalL.css_.css",23048,[TXT],262 ms
01:31:42.438,"GET https://images-na.ssl-images-amazon.com/images/I/71cPoLSdncL._RC%7C01A7OPUhDKL.css,31+C8rQtOEL.css,21E1MhZOpTL.css,31d4ZsgKOkL.css,01EnpDxOA4L.css,31UlxNhlUML.css_.css",31629,[TXT],283 ms
01:31:42.575,GET https://images-na.ssl-images-amazon.com/images/G/01/AUIClients/AmazonGatewayHerotatorJS-ed6ce4798415244198b464cf366c538b1f2f2537._V2_.css,804,[TXT],198 ms
01:31:42.576,GET https://images-na.ssl-images-amazon.com/images/G/01/AUIClients/AmazonGatewayAuiAssets-583fcba40f2aab72c27ea9ffd6412668d85ee1ef._V2_.css,8766,[TXT],230 ms
01:31:42.744,GET https://images-na.ssl-images-amazon.com/images/G/01/x-locale/redirect-overlay/redirect-overlay-nav-https-20140702._CB292562555_.css,2395,[TXT],85 ms
01:31:42.745,GET https://images-na.ssl-images-amazon.com/images/G/01/x-locale/redirect-overlay/redirect-overlay-nav-mx-https-20150828._CB311575010_.css,2363,[TXT],159 ms
01:31:42.830,GET https://fls-na.amazon.com/1/batch/1/OP/ATVPDKIKX0DER:161-5164423-3820518:83CYD3AE1QP09P7NSVXC$uedata=s:%2Fgp%2Fuedata%3Fstaticb%26id%3D83CYD3AE1QP09P7NSVXC:0,291,[Image],861 ms
01:31:42.852,GET https://aax-us-east.amazon-adsystem.com/x/getadi,447,[HTML],1192 ms
01:31:42.882,GET https://images-na.ssl-images-amazon.com/images/G/01/gno/sprites/nav-sprite-global_bluebeacon-1x_optimized._CB281044790_.png,15046,[Image],96 ms
01:31:42.905,GET https://images-na.ssl-images-amazon.com/images/G/01/kindle/merch/2017/ECHO/GW/D_GW_WHT_SINGLE_1500x300._CB536733694_.jpg,101510,[Image],258 ms
01:31:42.906,GET https://images-na.ssl-images-amazon.com/images/G/01/gateway/yiyiz/AV._CB299522610_.png,62272,[Image],160 ms
01:31:42.906,GET https://images-na.ssl-images-amazon.com/images/G/01/gateway/yiyiz/Kindle._CB300901238_.png,30110,[Image],102 ms
01:31:42.907,GET https://images-na.ssl-images-amazon.com/images/G/01/gateway/yiyiz/Grocery._CB299522610_.png,52143,[Image],213 ms
01:31:42.907,GET https://images-na.ssl-images-amazon.com/images/G/01/gateway/yiyiz/Music._CB299479121_.png,52761,[Image],248 ms
01:31:42.942,GET https://m.media-amazon.com/images/G/01/AUIClients/AmazonUICarousel-arrows-c495a9b59afd9b35a08c12513d40b8c7e7771499._V2_.png,6445,[Image],281 ms
01:31:42.979,GET https://images-na.ssl-images-amazon.com/images/G/01/poppin/gateway/JAN/MerchSlot_final._UX492_SX492_CB521098344_.jpg,43305,[Image],182 ms
01:31:43.008,GET https://images-na.ssl-images-amazon.com/images/I/31MZICBA2EL._AC_UY600__SY244_.jpg,5074,[Image],160 ms
01:31:43.067,GET https://images-na.ssl-images-amazon.com/images/G/01/AUIClients/GenericObservableJS-c1a60b0cbfbf5d9a43a472c753b5426b6b9787a4._V2_.js,1007,[JavaScript],243 ms
01:31:43.068,POST https://fls-na.amazon.com/1/action-impressions/1/OP/csm/action/csm-features:impression-tracking,354,[Image],1012 ms
01:31:43.121,GET https://images-na.ssl-images-amazon.com/images/G/01/amazonui/loading/loading-2x-gray._V1_.gif,4190,[Image],93 ms
01:31:43.155,GET https://images-na.ssl-images-amazon.com/images/I/61yGn8SWTgL.js,33335,[JavaScript],258 ms
01:31:43.162,GET https://images-na.ssl-images-amazon.com/images/G/01/AUIClients/AmazonGatewayHerotatorJS-3c5a701dab4996300a159a495a7b50721f8291a4._V2_.js,3354,[JavaScript],257 ms
